,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017,total freqs
1,Matilde,F,2062,1889,1835,1639,7425
2,Leonor,F,1859,1999,1783,1668,7309
3,Beatriz,F,1378,1268,1154,1259,5059
5,Carolina,F,1295,1228,1174,1134,4831
4,Mariana,F,1332,1205,1152,1027,4716
6,Ana,F,1120,1060,1010,1004,4194
7,Inês,F,1062,1001,939,873,3875
8,Sofia,F,980,950,958,975,3863
9,Margarida,F,930,989,912,829,3660
