,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017,total freqs,Ratio F14,Ratio F15,Ratio F16,Ratio F17
1,Matilde,F,2062,1889,1835,1639,7425,0.17157596937926445,0.16299939597894555,0.1680864706421178,0.136378765185555
2,Leonor,F,1859,1999,1783,1668,7309,0.154684639707106,0.17249115540598844,0.16332325730512046,0.13879181228157764
3,Beatriz,F,1378,1268,1154,1259,5059,0.1146613413213513,0.10941409957718526,0.10570669597874874,0.10475952737560326
5,Carolina,F,1295,1228,1174,1134,4831,0.10775503411549342,0.10596255069462421,0.1075387011083631,0.09435846230654019
4,Mariana,F,1332,1205,1152,1027,4716,0.1108337493759361,0.10397791008715161,0.1055234954657873,0.0854551506074222
6,Ana,F,1120,1060,1010,1004,4194,0.09319354301880513,0.0914660453878678,0.09251625904552532,0.0835413546347146
7,Inês,F,1062,1001,939,873,3875,0.08836744882675986,0.08637501078609026,0.08601264083539434,0.07264103844233649
8,Sofia,F,980,950,958,975,3863,0.08154435014145449,0.08197428596082491,0.08775304570852799,0.08112830753869196
9,Margarida,F,930,989,912,829,3660,0.07738392411382926,0.08533954612132194,0.08353943391041495,0.06897986353802629
