,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
4376,Aurea Vitória,F,1,0,0,0
4377,Rosa Sofia,F,1,0,0,0
4378,Kyara Yasmin,F,1,0,0,0
4379,Susana Bobó,F,1,0,0,0
4380,Valentina Roma,F,1,0,0,0
4381,Carolina Anaís,F,1,0,0,0
4382,Leonor Alexandre,F,1,0,0,0
4383,Geovana Larissa,F,1,0,0,0
4384,Matilde Mel,F,1,0,0,0
4385,Brigitte Agar,F,1,0,0,0
4386,Lucy Rosa,F,1,0,0,0
4387,Mara Luz,F,1,0,0,0
4388,Beatriz Isabela,F,1,0,0,0
4389,Zahara Marin,F,1,0,0,0
4390,Cármen Telmo,F,1,0,0,0
4391,Eduarda Francisca,F,1,0,0,0
4392,Júlia Inês,F,1,0,0,0
4393,Esther Emanuelle,F,1,0,0,0
4394,Jordana Micaela,F,1,0,0,0
4395,Maria Joana Margarida,F,1,0,0,0
4396,Nara Beatriz,F,1,0,0,0
4397,Ema Luísa,F,1,0,0,0
4398,Ariana Delfina,F,1,0,0,0
4399,Mara Joana,F,1,0,0,0
4400,Kelly Cristina,F,1,0,0,0
4401,Elisa Rosa,F,1,0,0,0
4402,Carminho Gabriela,F,1,0,0,0
4403,Marisa Adelina,F,1,0,0,0
4404,Keliany Patrícia,F,1,0,0,0
4405,Guadalupe Sofia,F,1,0,0,0
4406,Iara Luana,F,1,0,0,0
4407,Diana Cármen,F,1,0,0,0
4408,Lila Sarah,F,1,0,0,0
4409,Zandra Sofia,F,1,0,0,0
4410,Mélanie Daniela,F,1,0,0,0
4411,Kaily Safira,F,1,0,0,0
4412,Maria Adília,F,1,0,0,0
4413,Saffira Jasmine,F,1,0,0,0
4414,Susana Djenabu,F,1,0,0,0
4415,Bruna Raquel,F,1,0,0,0
4416,Herlica Elvira,F,1,0,0,0
4417,Bruna Tatiana,F,1,0,0,0
4418,kelly Leonor,F,1,0,0,0
4419,Anouk Malu,F,1,0,0,0
4420,Isabel Sofia,F,1,0,0,0
4421,Samara Lídia,F,1,0,0,0
4422,Alice Dione,F,1,0,0,0
4423,Yasmin Mariama,F,1,0,0,0
4424,Juliana Cristina,F,1,0,0,0
4425,Nicole Alícia,F,1,0,0,0
4426,Iris Vitória,F,1,0,0,0
4427,Mariana Catarina,F,1,0,0,0
4428,Joana Felicity-Grace,F,1,0,0,0
4429,Alyssa Bianca,F,1,0,0,0
4430,Laryssa Sofia,F,1,0,0,0
4431,Lara Thaís,F,1,0,0,0
4432,Aléxia Rafaela,F,1,0,0,0
4433,Vanda Sofia,F,1,0,0,0
4434,Elsa Patricia,F,1,0,0,0
4435,Heloísa Katarina,F,1,0,0,0
4436,Diana Mar,F,1,0,0,0
4437,Daiany Catarina,F,1,0,0,0
4438,Zi Fei,F,1,0,0,0
4439,Magali Sofia,F,1,0,0,0
4440,Bruna Jeovana,F,1,0,0,0
4441,Elena Natália,F,1,0,0,0
4442,Ariana Elisabete,F,1,0,0,0
4443,Naiara Daniela,F,1,0,0,0
4444,Ana Soraia,F,1,0,0,0
4445,Zi Ying,F,1,0,0,0
4446,Leila Beatriz,F,1,0,0,0
4447,Leonor Duarte,F,1,0,0,0
4448,Catarina de Cássia,F,1,0,0,0
4449,Daniela Grace,F,1,0,0,0
4450,Maiara Safira,F,1,0,0,0
4451,Maria Salete,F,1,0,0,0
4452,Neusa Alexandra,F,1,0,0,0
4453,Beatriz Ioana,F,1,0,0,0
4454,Matilde Marília,F,1,0,0,0
4455,Lúcia Miguela,F,1,0,0,0
4456,Margarida Gil,F,1,0,0,0
4457,rancisca Delia Salomei,F,1,0,0,0
4458,Célia Janaína,F,1,0,0,0
4459,Edeleny Ronisy,F,1,0,0,0
4460,Irina Ioana,F,1,0,0,0
4461,Djara Sofia,F,1,0,0,0
4462,Caetana Leonor,F,1,0,0,0
4463,Diana Dawn,F,1,0,0,0
4464,Ivânia Djamila,F,1,0,0,0
4465,Candice Clotilde Clasin,F,1,0,0,0
4466,Ariana Alice,F,1,0,0,0
4467,Lyandra Alexandra,F,1,0,0,0
4468,Yasmin Patrícia,F,1,0,0,0
4469,Carolina Filomena,F,1,0,0,0
4470,Angelina Naiara,F,1,0,0,0
4471,Clara Gil,F,1,0,0,0
4472,Carolina Fabiana,F,1,0,0,0
4473,Luana Inês,F,1,0,0,0
4474,Maya Anabell,F,1,0,0,0
4475,Margarida Inês,F,1,0,0,0
4476,Alehandra Giovanna,F,1,0,0,0
4477,Gabriela de Jesus,F,1,0,0,0
4478,Bruna Cristina,F,1,0,0,0
4479,Luzia Sofia,F,1,0,0,0
4480,Aina Makiesse,F,1,0,0,0
4481,Elsa Angelina,F,1,0,0,0
4482,Bruna Matilde,F,1,0,0,0
4483,Ariele Filipa,F,1,0,0,0
4484,Miriam de Fátima,F,1,0,0,0
4485,Elena Youcheng,F,1,0,0,0
4486,Victória Mariana,F,1,0,0,0
4487,Liara Maria,F,1,0,0,0
4488,Kiara Raquel,F,1,0,0,0
4489,Susana Lando,F,1,0,0,0
4490,Luísa Afonso,F,1,0,0,0
4491,Clara Augusta,F,1,0,0,0
4492,Maiara Isabela,F,1,0,0,0
4493,Liyana Alice Helena,F,1,0,0,0
4494,Orquídea Rosa,F,1,0,0,0
4495,Amanda Sencial,F,1,0,0,0
4496,Esperança Tamara,F,1,0,0,0
4497,Flávia Nicoleta,F,1,0,0,0
4498,Elcana Josemara,F,1,0,0,0
4499,Joadmila Maria,F,1,0,0,0
4500,Lavínia Maria,F,1,0,0,0
4501,Briana Alexandra,F,1,0,0,0
4502,Brenda Alyssa,F,1,0,0,0
4503,Rosa Branca,F,1,0,0,0
4504,Fénix Kidoroks,F,1,0,0,0
4505,Angelika Aurora,F,1,0,0,0
4506,Luamy Nsuni,F,1,0,0,0
4507,Carla Beatriz,F,1,0,0,0
4508,Clara Manuela,F,1,0,0,0
4509,Alice Clara,F,1,0,0,0
4510,Aurora Isabel,F,1,0,0,0
4511,Rayssa Sofia,F,1,0,0,0
4512,Antónia Maria,F,1,0,0,0
4513,Mayra Juliana,F,1,0,0,0
4514,Victória João,F,1,0,0,0
4515,Aline Welwitschia,F,1,0,0,0
4516,Eva Mar,F,1,0,0,0
4517,Esperança Safira,F,1,0,0,0
4518,Myrella Valentina,F,1,0,0,0
4519,Inês Duarte,F,1,0,0,0
4520,Daria Gabriela,F,1,0,0,0
4521,Andreia Manuel,F,1,0,0,0
4522,Bianca do Rosário,F,1,0,0,0
4523,Lara Carina,F,1,0,0,0
4524,Margarida Luís,F,1,0,0,0
4525,Sara Fielpina Élise,F,1,0,0,0
4526,Lyaren Maria,F,1,0,0,0
4527,Noa Luz,F,1,0,0,0
4528,Keila Filipa,F,1,0,0,0
4529,Camila Marina,F,1,0,0,0
4530,Maria Clarisse,F,1,0,0,0
4531,Ester Andrea,F,1,0,0,0
4532,Alana Yasmine,F,1,0,0,0
4533,India Larissa,F,1,0,0,0
4534,Mónica António,F,1,0,0,0
4535,Noa Aniana,F,1,0,0,0
4536,Alice Serena,F,1,0,0,0
4537,Melyssa Vitória,F,1,0,0,0
4538,Halyane Sabel,F,1,0,0,0
4539,Carolina Eduarda,F,1,0,0,0
4540,Kelly Aicha,F,1,0,0,0
4541,Jacinta Gabrielenia,F,1,0,0,0
4542,Fabiana Leonor,F,1,0,0,0
4543,Beatriz Mina,F,1,0,0,0
4544,Erika Shelsy,F,1,0,0,0
4545,Lariane Larissa,F,1,0,0,0
4546,Mia Flor,F,1,0,0,0
4547,Aixa Micaela,F,1,0,0,0
4548,Aurora Celeste,F,1,0,0,0
4549,Alana Miguel,F,1,0,0,0
4550,Larissa Alexandra,F,1,0,0,0
4551,Bárbara Elisa,F,1,0,0,0
4552,Maria Chantal,F,1,0,0,0
4553,Camila Elwenn,F,1,0,0,0
4554,Lívia Letícia,F,1,0,0,0
4555,Iana Gabriela,F,1,0,0,0
4556,Victória Alba,F,1,0,0,0
4557,Anisa Amin,F,1,0,0,0
4558,Matilde Yasmin,F,1,0,0,0
4559,Benedita Dinis,F,1,0,0,0
4560,Laura Ângela,F,1,0,0,0
4561,Leonor Levi,F,1,0,0,0
4562,Marta Francisca,F,1,0,0,0
4563,Talita Hilda,F,1,0,0,0
4564,Luísa Liz,F,1,0,0,0
4565,Telma Rafaela,F,1,0,0,0
4566,Liana Elisabete,F,1,0,0,0
4567,Ângela Cristina,F,1,0,0,0
4568,Constança Pia,F,1,0,0,0
4569,Lisandra Vitória,F,1,0,0,0
4570,Emily Paola,F,1,0,0,0
4571,Melinda Abigail,F,1,0,0,0
4572,Lira Sofia,F,1,0,0,0
4573,Jade Carolina,F,1,0,0,0
4574,Dricla Maria,F,1,0,0,0
4575,Elisabete Abigail,F,1,0,0,0
4576,Valentina Filipa,F,1,0,0,0
4577,Mary Aissa,F,1,0,0,0
4578,Leandra Filipa,F,1,0,0,0
4579,Akeelah Iami,F,1,0,0,0
4580,Inês Mar,F,1,0,0,0
4581,Daisy Osaivbie,F,1,0,0,0
4582,Yasmin Nídia,F,1,0,0,0
4583,Neena Katherine,F,1,0,0,0
4584,Mafalda Carolina,F,1,0,0,0
4585,Eva Ana,F,1,0,0,0
4586,Luana Liz,F,1,0,0,0
4587,Leonor Chan,F,1,0,0,0
4588,Kelly António,F,1,0,0,0
4589,Maria Clementina,F,1,0,0,0
4590,Liliana Soraia,F,1,0,0,0
4591,Weza Tchissola,F,1,0,0,0
4592,Eveline Isabel,F,1,0,0,0
4593,Chen Xian,F,1,0,0,0
4594,Íris de Deus,F,1,0,0,0
4595,Bárbara Vitória,F,1,0,0,0
4596,Ananya Sashikant,F,1,0,0,0
4597,Diana Marisa,F,1,0,0,0
4598,Ariana Pedro,F,1,0,0,0
4599,Alícia Daniela,F,1,0,0,0
4600,Inaia Celeste,F,1,0,0,0
4601,Emilly Sofia,F,1,0,0,0
4602,Huncelma Denize,F,1,0,0,0
4603,Diana Benedita,F,1,0,0,0
4604,Naraiana Daniela,F,1,0,0,0
4605,Taís Sofia,F,1,0,0,0
4606,Naomi Rut,F,1,0,0,0
4607,Nicole Natércia,F,1,0,0,0
4608,Íris Alícia,F,1,0,0,0
4609,Núbia Iasmin,F,1,0,0,0
4610,Victoria Luana,F,1,0,0,0
4611,Kelly Isabel,F,1,0,0,0
4612,Silvia Clara,F,1,0,0,0
4613,Violeta Alexandra,F,1,0,0,0
4614,Lília Sofia,F,1,0,0,0
4615,Djamila Cadija,F,1,0,0,0
4616,Neusa Matilde,F,1,0,0,0
4617,Carlota Zita,F,1,0,0,0
4618,Matilde Flôr,F,1,0,0,0
4619,Soainy Sori,F,1,0,0,0
4620,Mah Noor,F,1,0,0,0
4621,Violeta Filipe,F,1,0,0,0
4622,Joana Odete,F,1,0,0,0
4623,Siena Patricia,F,1,0,0,0
4624,Laura Victoria,F,1,0,0,0
4625,Íris Cristina,F,1,0,0,0
4626,Flávia Daniela,F,1,0,0,0
4627,Madalena do Carmo,F,1,0,0,0
4628,Nalini Filipa,F,1,0,0,0
4629,Rafaela Isabel,F,1,0,0,0
4630,Ana Ester,F,1,0,0,0
4631,Beatriz Conceição,F,1,0,0,0
4632,Isa Miguel,F,1,0,0,0
4633,Allia Maria,F,1,0,0,0
4634,Suéli Rosana,F,1,0,0,0
4635,Viviane Maria,F,1,0,0,0
4636,Noemi Isabel,F,1,0,0,0
4637,Daniela Cristóvão,F,1,0,0,0
4638,Yara Luana,F,1,0,0,0
4639,Letícia de Jesus,F,1,0,0,0
4640,Yasmin Alissa,F,1,0,0,0
4641,Sarah Michelle,F,1,0,0,0
4642,Alyssa Jade,F,1,0,0,0
4643,Bárbara Inês,F,1,0,0,0
4644,Yasmin Ágata,F,1,0,0,0
4645,Éllene Yohanni,F,1,0,0,0
4646,Elizabeth Victória,F,1,0,0,0
4647,Andresa Filipa,F,1,0,0,0
4648,Diana Regina,F,1,0,0,0
4649,Jennifer Larissa,F,1,0,0,0
4650,Dora Luís,F,1,0,0,0
4651,Fatima Ulai,F,1,0,0,0
4652,Swazilene Jacilene,F,1,0,0,0
4653,Carla Lorena,F,1,0,0,0
4654,Aixa Maria,F,1,0,0,0
4655,Isabelle Nayane,F,1,0,0,0
4656,Carla Micaela,F,1,0,0,0
4657,Stephanie Caroline,F,1,0,0,0
4658,Yasmin Liana,F,1,0,0,0
4659,Bia Sofia,F,1,0,0,0
4660,Viviane Rafaela,F,1,0,0,0
4661,Keila Giselle,F,1,0,0,0
4662,Mieji Uhenha,F,1,0,0,0
4663,Alice Kelly,F,1,0,0,0
4664,Kayla Beatriz,F,1,0,0,0
4665,Luzy Moana Olhinha,F,1,0,0,0
4666,Maria Julieta,F,1,0,0,0
4667,Nicole Maia,F,1,0,0,0
4668,Chloé Nair,F,1,0,0,0
4669,Luísa Nano,F,1,0,0,0
4670,Joraide Lullo Nhima,F,1,0,0,0
4671,Lana Gabriela,F,1,0,0,0
4672,Amanda Isis,F,1,0,0,0
4673,Diana Larissa,F,1,0,0,0
4674,Argentina Aissatu,F,1,0,0,0
4675,Clara do Carmo,F,1,0,0,0
4676,Sara Miriam,F,1,0,0,0
4677,Neerzara Krishma,F,1,0,0,0
4678,Keyliane Melissa,F,1,0,0,0
4679,Maísa Kyara,F,1,0,0,0
4680,Rahel Sofia,F,1,0,0,0
4681,Luana Taís,F,1,0,0,0
4682,Sofia Patrícia,F,1,0,0,0
4683,Alisha Ciara,F,1,0,0,0
4684,Eduarda João,F,1,0,0,0
4685,Constança Duarte,F,1,0,0,0
4686,Joana Nicol,F,1,0,0,0
4687,Aline Melissa,F,1,0,0,0
4688,Alícia Teresa,F,1,0,0,0
4689,Carolina Iosefina,F,1,0,0,0
4690,Rita Catarina,F,1,0,0,0
4691,Angelic Kiara,F,1,0,0,0
4692,Dalila Raquel,F,1,0,0,0
4693,Bárbara João,F,1,0,0,0
4694,Laura Afonso,F,1,0,0,0
4695,Sofia António,F,1,0,0,0
4696,Gemma Merícia,F,1,0,0,0
4697,Cloe Sofia,F,1,0,0,0
4698,Mafalda Raquel,F,1,0,0,0
4699,Rayane Jacques,F,1,0,0,0
4700,Carina Alexandra,F,1,0,0,0
4701,Jemima Agostinho,F,1,0,0,0
4702,Lia Cloe,F,1,0,0,0
4703,Érica Gabriela,F,1,0,0,0
4704,Beatriz de Lurdes,F,1,0,0,0
4705,Lunna Maria,F,1,0,0,0
4706,Hadassah Napoleão,F,1,0,0,0
4707,Júlia Clara,F,1,0,0,0
4708,Clara Johanna,F,1,0,0,0
4709,Inês Jorge,F,1,0,0,0
4710,Érica Luísa,F,1,0,0,0
4711,Catarina Vitória,F,1,0,0,0
4712,Isabela Liz,F,1,0,0,0
4713,Leanje Mylara,F,1,0,0,0
4714,Ellaine Vitória,F,1,0,0,0
4715,Erin Nayara,F,1,0,0,0
4716,Milene Isabel,F,1,0,0,0
4717,Natália Alexandra,F,1,0,0,0
4718,Claúdia Marina,F,1,0,0,0
4719,Ana Angélica,F,1,0,0,0
4720,Lisandra Cristina,F,1,0,0,0
4721,Victória Camila,F,1,0,0,0
4722,Cléo Alejandra,F,1,0,0,0
4723,Antonia Lorena,F,1,0,0,0
4724,Isabel Constança,F,1,0,0,0
4725,Gabriela Melissa,F,1,0,0,0
4726,Diócadun Elia,F,1,0,0,0
4727,Trisha Alpeshkumar,F,1,0,0,0
4728,Marisol Isabella,F,1,0,0,0
4729,Yasmin Rebeca,F,1,0,0,0
4730,Ester Marilan,F,1,0,0,0
4731,Paloma Naiara,F,1,0,0,0
4732,Nayara Luana,F,1,0,0,0
4733,Yolene Shantell,F,1,0,0,0
4734,Açucena Raquel,F,1,0,0,0
4735,Cheila Cristina,F,1,0,0,0
4736,Bruna Mariana,F,1,0,0,0
4737,Nicole Fabiana,F,1,0,0,0
4738,Lea de Jesus,F,1,0,0,0
4739,Nayara Victória,F,1,0,0,0
4740,Eloise Rose,F,1,0,0,0
4741,Alexia Mariana,F,1,0,0,0
4742,Isis Fernanda,F,1,0,0,0
4743,Edmaya Luísa,F,1,0,0,0
4744,Débora Nicole,F,1,0,0,0
4745,Liliana Matilde,F,1,0,0,0
4746,Susana Abigail,F,1,0,0,0
4747,argarida de Santa Mar,F,1,0,0,0
4748,Ivete João,F,1,0,0,0
4749,Bianca Margarida,F,1,0,0,0
4750,Paulina Lwege,F,1,0,0,0
4751,Kelly Sarahí,F,1,0,0,0
4752,Morgana Patrícia,F,1,0,0,0
4753,Dalila Yasmin,F,1,0,0,0
4754,Bianca Natália,F,1,0,0,0
4755,Wiliannie Stephany,F,1,0,0,0
4756,Chloé Sophia,F,1,0,0,0
4757,Ana Vicente,F,1,0,0,0
4758,Mariana Lurdes,F,1,0,0,0
4759,Madalena Raquel,F,1,0,0,0
4760,Dora Sofia,F,1,0,0,0
4761,Sofia Martinho,F,1,0,0,0
4762,Jael Zendaya,F,1,0,0,0
4763,Jessica Mirene,F,1,0,0,0
4764,Benedita Marisa,F,1,0,0,0
4765,Leonor Inês,F,1,0,0,0
4766,Bruna Linésia,F,1,0,0,0
4767,Sara Lourenço,F,1,0,0,0
4768,Leonor Anaís,F,1,0,0,0
4769,Maria Antônia,F,1,0,0,0
4770,Mara Inês,F,1,0,0,0
4771,Joana Amélia,F,1,0,0,0
4772,Melanie Emily,F,1,0,0,0
4773,Naísa Ariane,F,1,0,0,0
4774,Marisa Agostinho,F,1,0,0,0
4775,Natacha Sofia,F,1,0,0,0
4776,Leonor Cloé,F,1,0,0,0
4777,Maia Filipa,F,1,0,0,0
4778,Wareesha Hassan,F,1,0,0,0
4779,Carolina Marisa,F,1,0,0,0
4780,Tânia Cadijatu,F,1,0,0,0
4781,Isabella Rose,F,1,0,0,0
4782,Melissa Daniela,F,1,0,0,0
4783,Carmo Isabel,F,1,0,0,0
4784,Cristiana Rosa,F,1,0,0,0
4785,Beatriz Antonia,F,1,0,0,0
4786,Elisabete Maria,F,1,0,0,0
4787,Eva Kioja,F,1,0,0,0
4788,Catarina Weza,F,1,0,0,0
4789,Liara Beatriz,F,1,0,0,0
4790,Lorena Beatriz,F,1,0,0,0
4791,Bárbara Gabriel,F,1,0,0,0
4792,Débora Regina,F,1,0,0,0
4793,Kyara Luciana,F,1,0,0,0
4794,Concha Maria,F,1,0,0,0
4795,Érica Jociany,F,1,0,0,0
4796,Estela Carolina,F,1,0,0,0
4797,Soraia Beatriz,F,1,0,0,0
4798,Emma Mengqi,F,1,0,0,0
4799,Victória Lorena,F,1,0,0,0
4800,Anusca Joana,F,1,0,0,0
4801,Eva Violeta,F,1,0,0,0
4802,Márcia Nayara,F,1,0,0,0
4803,Uma Maya,F,1,0,0,0
4804,Sara Emanuela,F,1,0,0,0
4805,Madalena de Jesus,F,1,0,0,0
4806,Liana Cristiane,F,1,0,0,0
4807,Elisa Alexandra,F,1,0,0,0
4808,Flor Isabel,F,1,0,0,0
4809,Benigna Margarida,F,1,0,0,0
4810,Carlota Noor,F,1,0,0,0
4811,Sara Sabrina,F,1,0,0,0
4812,Zapryanka Donkova,F,1,0,0,0
4813,Sofia Lua,F,1,0,0,0
4814,Micaela Olufemi,F,1,0,0,0
4815,Valentina Nicole,F,1,0,0,0
4816,Áurea Catarina,F,1,0,0,0
4817,Anastasia Aleksandra,F,1,0,0,0
4818,Sandy Dinora,F,1,0,0,0
4819,Cinara Alexandra,F,1,0,0,0
4820,Lénia Maria,F,1,0,0,0
4821,Layla Marie,F,1,0,0,0
4822,Lia Catarina,F,1,0,0,0
4823,Samantha José,F,1,0,0,0
4824,Anna Petra,F,1,0,0,0
4825,Rita de Santa Maria,F,1,0,0,0
4826,Janice Cristina,F,1,0,0,0
4827,Nellyane Olimpia,F,1,0,0,0
4828,Valeriya Yurivna,F,1,0,0,0
4829,Tatiana Andreia,F,1,0,0,0
4830,Cecília Fátima,F,1,0,0,0
4831,Soyane Alexandra,F,1,0,0,0
4832,Emma Lou,F,1,0,0,0
4833,Talia Ehab,F,1,0,0,0
4834,Maria Ermelinda,F,1,0,0,0
4835,Márcia Royan,F,1,0,0,0
4836,Nicoleta Alexandra,F,1,0,0,0
4837,Ariana Sabrina,F,1,0,0,0
4838,Cármen Lúcia,F,1,0,0,0
4839,Raquel Mavilde,F,1,0,0,0
4840,Letícia Elisa,F,1,0,0,0
4841,Clarisse Cristina,F,1,0,0,0
4842,Luany Beatriz,F,1,0,0,0
4843,Morgana Daniel,F,1,0,0,0
4844,Linda Santiago,F,1,0,0,0
4845,Lea Lovis,F,1,0,0,0
4846,Petra Letícia,F,1,0,0,0
4847,Sarah Winnie,F,1,0,0,0
4848,Brigite Vitória,F,1,0,0,0
4849,Vera Isabel,F,1,0,0,0
4850,Diana Kaiyan,F,1,0,0,0
4851,Victória Michele,F,1,0,0,0
4852,Ana Aurora,F,1,0,0,0
4853,Violeta Filipa,F,1,0,0,0
4854,Pilar Maia,F,1,0,0,0
4855,Maurícia Cibele,F,1,0,0,0
4856,Victória Vanessa,F,1,0,0,0
4857,Cristina Patrícia,F,1,0,0,0
4858,Letícia Mel,F,1,0,0,0
4859,Franciely Ilda,F,1,0,0,0
4860,Zhi Xuan,F,1,0,0,0
4861,Ana Carminho,F,1,0,0,0
4862,Asheley Filomena,F,1,0,0,0
4863,Letícia Dinis,F,1,0,0,0
4864,Anita Raquel,F,1,0,0,0
4865,Isabela Luana,F,1,0,0,0
4866,Angeline Mhyla,F,1,0,0,0
4867,Mafalda Luís,F,1,0,0,0
4868,Bianca Laurentina,F,1,0,0,0
4869,Kayla Onima,F,1,0,0,0
4870,Valéria Beatriz,F,1,0,0,0
4871,Luísa Duarte,F,1,0,0,0
4872,Celine Vitória,F,1,0,0,0
4873,Leslie Ariel,F,1,0,0,0
4874,Carla Sophia,F,1,0,0,0
4875,Matilde Iasmin,F,1,0,0,0
4876,Leonor Rosa,F,1,0,0,0
4877,Clara Marjorie,F,1,0,0,0
4878,Anna Catarina,F,1,0,0,0
4879,Luciana Marlene,F,1,0,0,0
4880,Kiara Alessandra,F,1,0,0,0
4881,Keyla Danara,F,1,0,0,0
4882,Aura Beatriz,F,1,0,0,0
4883,Elsa Miriam,F,1,0,0,0
4884,Alícia Mara,F,1,0,0,0
4885,Regina da Conceição,F,1,0,0,0
4886,Constança dos Santos,F,1,0,0,0
4887,Rita Justina,F,1,0,0,0
4888,Cíntia Melissa,F,1,0,0,0
4889,Wandi Sofia,F,1,0,0,0
4890,Eduarda Leonor,F,1,0,0,0
4891,Bianca Andreia,F,1,0,0,0
4892,Sheila Marisa,F,1,0,0,0
4893,Nicole Viviane,F,1,0,0,0
4894,Lúcia Francisca,F,1,0,0,0
4895,Rute Vitória,F,1,0,0,0
4896,Daniela Tâmiris,F,1,0,0,0
4897,Dina Maria,F,1,0,0,0
4898,Laura Robin,F,1,0,0,0
4899,Evelyn Ariane,F,1,0,0,0
4900,Mariana Andomarc,F,1,0,0,0
4901,Kirian Maweza,F,1,0,0,0
4902,Kyara Andreea,F,1,0,0,0
4903,Rosa Fabiana,F,1,0,0,0
4904,Lucia Simunye,F,1,0,0,0
4905,Gabriela Duarte,F,1,0,0,0
4906,Iris Patrícia,F,1,0,0,0
4907,Carminho João,F,1,0,0,0
4908,Clementine Rose,F,1,0,0,0
4909,Elisabeth Victoria Ann,F,1,0,0,0
4910,Alice Helena,F,1,0,0,0
4911,Jéssica Chine,F,1,0,0,0
4912,Annelys Jacilla,F,1,0,0,0
4913,Sarah Miguel,F,1,0,0,0
4914,Mónica Miguel,F,1,0,0,0
4915,Ana Quitéria,F,1,0,0,0
4916,Rafaela Wagner,F,1,0,0,0
4917,Merícia da Conceição,F,1,0,0,0
4918,Andreia Rafaela,F,1,0,0,0
4919,Tânia Alexandra,F,1,0,0,0
4920,Érica Soraia,F,1,0,0,0
4921,Maria Nadeia,F,1,0,0,0
4922,Roana Jade,F,1,0,0,0
4923,Vera Filipa,F,1,0,0,0
4924,Vitória Taísa,F,1,0,0,0
4925,Iasmin Isabel,F,1,0,0,0
4926,Filipa Tiago,F,1,0,0,0
4927,Neima Solange,F,1,0,0,0
4928,Catarina Lourenço,F,1,0,0,0
4929,Vitória Luize,F,1,0,0,0
4930,Emmy Susy Claude,F,1,0,0,0
4931,Vanessa Leonor,F,1,0,0,0
4932,Adriana Patrícia,F,1,0,0,0
4933,Aisha Naya,F,1,0,0,0
4934,Emília Sara,F,1,0,0,0
4935,Paloma Matilde,F,1,0,0,0
4936,Sara Wanda,F,1,0,0,0
4937,Kelly Sabrina,F,1,0,0,0
4938,Zoé Rosa,F,1,0,0,0
4939,Lúcia João,F,1,0,0,0
4940,Ester Isabel,F,1,0,0,0
4941,Nuna Vitória,F,1,0,0,0
4942,Renata Mirela,F,1,0,0,0
4943,Teresa Filipa,F,1,0,0,0
4944,Alice Leonor,F,1,0,0,0
4945,Maria Gabrielle,F,1,0,0,0
4946,Letízia Daniela,F,1,0,0,0
4947,Ambina Empiano,F,1,0,0,0
4948,Gabriela Letícia,F,1,0,0,0
4949,Inês Patrícia,F,1,0,0,0
4950,Cássia Celestino,F,1,0,0,0
4951,Renata Francisca,F,1,0,0,0
4952,Ruwwi Martha,F,1,0,0,0
4953,Valentina Alexandra,F,1,0,0,0
4954,Priscila Aliana,F,1,0,0,0
4955,Joana Elisa,F,1,0,0,0
4956,Urvika Ashish,F,1,0,0,0
4957,Lara Romão,F,1,0,0,0
4958,Alexia Sofia,F,1,0,0,0
4959,Catarina João,F,1,0,0,0
4960,Bibiana Isabel,F,1,0,0,0
4961,Raquel Patrícia,F,1,0,0,0
4962,Gabriela Sevgül,F,1,0,0,0
4963,Gabriela Patrícia,F,1,0,0,0
4964,Telma Alexandra,F,1,0,0,0
4965,Susana Beatriz,F,1,0,0,0
4966,CLara Alexandra,F,1,0,0,0
4967,Ester Alexandra,F,1,0,0,0
4968,Jéssica Kyara,F,1,0,0,0
4969,Giovanna Alessandra,F,1,0,0,0
4970,Luana Alice,F,1,0,0,0
4971,Léa Chantal Marie,F,1,0,0,0
4972,Lara Luana,F,1,0,0,0
4973,Jade Maísa,F,1,0,0,0
4974,arisa Yasmina Marian,F,1,0,0,0
4975,Isabel Alexandra,F,1,0,0,0
4976,Layara Ailice,F,1,0,0,0
4977,Matilde Duarte,F,1,0,0,0
4978,Zayna Shoeb,F,1,0,0,0
4979,Ariana Rosa,F,1,0,0,0
4980,Sandrina Isabel,F,1,0,0,0
4981,Victória do Rosário,F,1,0,0,0
4982,Elsa Beatriz,F,1,0,0,0
4983,Luciana Alexandra,F,1,0,0,0
4984,Mariama Siré,F,1,0,0,0
4985,Lara Larissa,F,1,0,0,0
4986,Matilde Manuel,F,1,0,0,0
4987,Darlynn Raiany,F,1,0,0,0
4988,Sophie Adeline Jyoti,F,1,0,0,0
4989,Áurea da Conceição,F,1,0,0,0
4990,Maria Nair,F,1,0,0,0
4991,Sophia Leonor,F,1,0,0,0
4992,Sophia Liz,F,1,0,0,0
4993,Maria Izaura,F,1,0,0,0
4994,Élia Sofia,F,1,0,0,0
4995,Tanyi Ayla,F,1,0,0,0
4996,Ellen Rayanne,F,1,0,0,0
4997,Veheta Stoyanova,F,1,0,0,0
4998,Isa Filipa,F,1,0,0,0
4999,Parini Sanil,F,1,0,0,0
5000,Mélanie Mafalda,F,1,0,0,0
5001,Denise Jade,F,1,0,0,0
5002,Beatriz Jorge,F,1,0,0,0
5003,Tatiana Victória,F,1,0,0,0
5004,Camila Jorge,F,1,0,0,0
5005,Kyara Irina,F,1,0,0,0
5006,Carolina Noa,F,1,0,0,0
5007,Rita Lúcia,F,1,0,0,0
5008,Angelena Gharu,F,1,0,0,0
5009,Benedita Leonor,F,1,0,0,0
5010,Tamara Isabel,F,1,0,0,0
5011,Carlota Pilar,F,1,0,0,0
5012,Jaciara Patrícia,F,1,0,0,0
