,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
187,Angélica,F,13,0,14,10
188,Angelina,F,13,11,8,11
189,Milena,F,13,12,16,12
190,Amália,F,13,0,20,12
191,Mariama,F,13,8,2,8
192,Cármen,F,12,0,4,7
193,Manuela,F,12,8,16,12
194,Sophie,F,12,6,4,6
195,Lisandra,F,12,5,7,6
196,Sandra,F,12,23,12,19
197,Samara,F,12,9,8,17
198,Riana,F,12,8,11,11
199,Mayra,F,12,10,7,8
200,Elsa,F,12,17,9,16
201,Sheila,F,12,3,4,3
202,Valéria,F,12,0,11,19
203,Maira,F,12,9,8,5
204,Nina,F,12,14,9,14
205,Sabrina,F,11,13,8,9
206,Maya,F,11,15,9,12
207,Taísa,F,11,0,8,8
208,Lisa,F,11,10,2,8
209,Tamara,F,11,18,11,22
210,Giovana,F,11,15,17,19
211,Naísa,F,11,0,8,6
212,Esperança,F,11,0,9,10
213,Alicia,F,11,21,9,15
214,Jénifer,F,11,0,11,8
215,Yasmine,F,10,4,4,15
216,Leila,F,10,8,12,6
217,Irene,F,10,12,6,6
218,Morgana,F,10,12,5,8
219,Lea,F,10,12,15,13
220,Victoria,F,10,25,16,30
221,Giovanna,F,10,9,5,13
222,Amanda,F,10,18,10,11
223,Concha,F,10,13,9,5
224,Cloé,F,10,0,8,10
225,Ashley,F,10,12,9,9
226,Anastácia,F,10,0,2,5
227,Magali,F,9,2,1,3
228,Daria,F,9,4,12,3
229,Luisa,F,9,4,8,15
230,Chloé,F,9,0,8,10
231,Abigail,F,9,17,25,13
232,Viviana,F,9,10,9,4
233,Maísa,F,9,0,11,15
234,Cloe,F,9,14,9,9
235,Andrea,F,9,6,5,14
236,Penélope,F,9,0,8,15
237,Joice,F,9,4,4,10
238,Noemi,F,9,15,9,4
239,Karen,F,9,5,2,8
240,Vânia,F,9,0,7,14
241,Jessica,F,9,7,5,7
242,Angela,F,9,6,2,7
243,Briana,F,9,13,10,16
244,Katia,F,9,2,2,3
245,Luzia,F,9,8,9,8
246,Célia,F,9,0,1,3
247,Eunice,F,9,13,7,10
248,Léa,F,9,0,1,3
249,Nadine,F,9,5,4,6
250,Samanta,F,8,10,11,11
251,Martina,F,8,11,11,10
252,Alyssa,F,8,6,4,4
253,Lília,F,8,0,8,4
254,Ayla,F,8,15,5,16
255,Esmeralda,F,8,9,10,6
256,Suéli,F,8,0,6,6
257,Luena,F,8,94,176,139
258,Viktoria,F,8,4,2,3
259,Tiara,F,8,5,5,0
260,Ariele,F,8,6,11,13
261,Lua,F,8,9,9,5
262,Fernanda,F,8,8,4,8
263,Estela,F,8,8,8,5
264,Chloe,F,8,6,30,47
265,Aisha,F,8,10,10,14
266,Heloísa,F,7,0,2,15
267,Gaia,F,7,6,2,4
268,Brenda,F,7,14,10,10
269,Elisabete,F,7,8,5,8
270,Martinha,F,7,5,7,3
271,Gisela,F,7,8,2,5
272,Ísis,F,7,0,9,13
273,Guadalupe,F,7,4,4,7
274,Kayla,F,7,12,6,14
275,Lavínia,F,7,0,6,4
276,Jacinta,F,7,2,10,19
277,Esther,F,7,10,10,10
278,Dara,F,7,8,16,15
279,Leandra,F,7,9,5,8
280,Anaís,F,7,0,7,6
281,Lana,F,7,11,4,4
282,Nara,F,7,6,5,7
283,Teodora,F,7,2,1,0
284,Pérola,F,7,0,6,10
285,Lyara,F,7,1,2,4
286,Estrela,F,7,14,15,20
287,Alexia,F,7,4,6,8
288,Carmen,F,7,9,10,10
289,Iasmin,F,7,6,2,8
290,Nuna,F,7,4,3,4
291,Natália,F,7,0,4,10
292,India,F,7,10,13,18
293,Iana,F,7,2,1,0
294,Emilly,F,7,8,5,13
295,Priscila,F,7,9,12,14
296,Alexa,F,6,5,7,7
297,Melanie,F,6,10,11,19
298,Aurea,F,6,4,6,3
299,Mercedes,F,6,8,7,4
300,Rayssa,F,6,9,7,9
301,Taíssa,F,6,0,6,7
302,Daniana,F,6,0,0,2
303,Mathilde,F,6,6,3,9
304,Graça,F,6,0,7,8
305,Nicoleta,F,6,2,0,1
306,Elisabeth,F,6,2,3,0
307,Yasmim,F,6,3,1,7
308,Amora,F,6,5,4,5
309,Dulce,F,6,3,6,3
310,Mirela,F,6,3,3,2
311,Ciara,F,6,5,10,10
312,Josiane,F,6,7,7,6
313,Geovana,F,6,2,3,1
314,Jasmine,F,6,2,2,13
315,Ariane,F,6,18,14,13
316,Giulia,F,6,6,2,7
317,Anaísa,F,6,0,10,8
318,Stephanie,F,6,3,6,9
319,Rosarinho,F,6,13,24,15
320,Milana,F,6,2,5,11
321,Ellen,F,6,4,13,11
322,Amina,F,6,0,2,1
323,Suri,F,5,13,8,9
324,Denisa,F,5,2,3,2
325,Stella,F,5,4,8,6
326,Marília,F,5,0,3,4
327,Polina,F,5,6,4,2
328,Keyla,F,5,7,4,7
329,Elana,F,5,2,1,0
330,Isadora,F,5,4,3,10
331,Zoe,F,5,2,5,5
332,Josiana,F,5,3,1,2
333,Isaura,F,5,8,6,8
334,Antonia,F,5,0,2,3
335,Roberta,F,5,2,2,2
336,Ariela,F,5,6,3,8
337,Melinda,F,5,6,3,7
338,Lueji,F,5,4,2,3
339,Lurdes,F,5,6,2,4
340,Iva,F,5,8,1,1
341,Iriana,F,5,1,4,3
342,Alina,F,5,12,4,5
343,Amy,F,5,5,3,4
344,Karina,F,5,4,7,6
345,Oceana,F,5,2,9,9
346,Julia,F,5,9,2,5
347,Dora,F,5,6,8,5
348,Stela,F,5,6,4,5
349,Maia,F,5,8,10,7
350,Lígia,F,5,0,7,4
351,Adelina,F,5,5,6,6
352,Irís,F,5,0,6,17
353,Rania,F,5,5,5,3
354,Mel,F,4,5,2,6
355,Celeste,F,4,5,2,7
356,Bibiana,F,4,3,0,1
357,Beatrice,F,4,2,1,1
358,Pureza,F,4,3,0,3
359,Luiza,F,4,4,5,3
360,Isabelle,F,4,7,1,3
361,Ada,F,4,2,0,4
362,Kiesse,F,4,0,0,0
363,Juliette,F,4,2,0,2
364,Stefania,F,4,0,2,2
365,Miranda,F,4,3,7,7
366,Lais,F,4,9,12,6
367,Marlene,F,4,4,5,4
368,Jasmina,F,4,1,4,3
369,Andreea,F,4,4,3,1
370,Veronika,F,4,0,4,1
371,Iolanda,F,4,5,1,2
372,Laryssa,F,4,0,3,2
373,Ingrid,F,4,2,1,1
374,Matilda,F,4,3,5,9
375,Silvana,F,4,5,4,7
376,Eveline,F,4,3,2,1
377,Ava,F,4,4,3,3
378,Xénia,F,4,0,1,0
379,Hanna,F,4,3,0,4
380,Emiliana,F,4,0,1,3
381,Linda,F,4,6,3,3
382,Suria,F,4,8,4,1
383,Guiomar,F,4,8,10,3
384,Jordana,F,4,4,1,1
385,Regina,F,4,6,1,6
386,Ariel,F,4,4,4,6
387,Jael,F,4,4,2,2
388,Janaína,F,4,0,4,4
389,Thaís,F,4,0,10,7
390,Zara,F,4,6,3,11
391,Ruth,F,4,5,1,4
392,Anaïs,F,4,0,1,1
393,Milene,F,4,4,4,3
394,Glória,F,4,0,10,12
395,Katerina,F,4,3,2,0
396,Yu,F,4,2,0,0
397,Florbela,F,4,1,4,2
398,Olivia,F,4,7,9,15
399,Fatima,F,4,3,3,5
400,Rebecca,F,4,4,5,3
401,Arina,F,4,2,3,6
402,Soraya,F,4,0,2,0
403,Cássia,F,4,0,3,3
404,Ionela,F,4,4,0,0
405,Liz,F,4,4,6,5
406,Naomi,F,4,2,5,11
407,Gurleen,F,4,1,1,1
408,Cassandra,F,4,5,4,3
409,Celina,F,4,7,4,3
410,Aysha,F,4,8,7,6
411,Mercês,F,4,0,5,6
412,Michelle,F,4,3,4,10
413,Lya,F,4,7,8,14
414,Marie,F,4,2,2,2
415,Aixa,F,4,4,1,0
416,Hannah,F,4,2,4,6
417,Aura,F,4,2,7,3
418,Raíssa,F,4,0,2,6
419,Ekaterina,F,4,3,1,1
420,Cinara,F,4,2,4,3
421,Melany,F,4,6,5,0
422,Eleonor,F,3,4,7,8
423,Leah,F,3,4,3,6
424,Bebiana,F,3,1,2,2
425,Elina,F,3,1,0,2
426,Emilia,F,3,1,3,2
427,Aliya,F,3,0,2,0
428,Tiffany,F,3,1,5,4
429,Cindy,F,3,3,1,0
430,Jessie,F,3,2,2,2
431,Sol,F,3,2,4,7
432,Vanda,F,3,2,0,7
433,Djamila,F,3,1,0,2
434,Rachel,F,3,1,0,2
435,Dayanne,F,3,1,1,5
436,Vitoria,F,3,2,0,4
437,Zi,F,3,0,1,1
438,Marisol,F,3,5,4,8
439,Diva,F,3,5,4,0
440,Paola,F,3,1,1,0
441,Margarita,F,3,6,1,3
442,Lina,F,3,7,6,4
443,Neide,F,3,3,2,1
444,Lily,F,3,0,1,2
445,Cecilia,F,3,0,0,0
446,Melina,F,3,6,6,3
447,Daiana,F,3,1,3,0
448,Iasmina,F,3,2,0,1
449,Daisi,F,3,4,3,8
450,Eloá,F,3,0,1,6
451,Dária,F,3,0,2,3
452,Stephany,F,3,4,3,2
453,Natalia,F,3,2,4,1
454,Eliza,F,3,5,3,4
455,Lícia,F,3,0,2,1
456,Ines,F,3,1,0,0
457,Aleksandra,F,3,1,2,4
458,Keila,F,3,1,0,5
459,Lucia,F,3,3,1,1
460,Rayane,F,3,3,4,5
461,Alba,F,3,2,4,4
462,Anabela,F,3,10,6,5
463,Rosário,F,3,0,2,2
464,Sienna,F,3,2,4,8
465,Lis,F,3,2,1,6
466,Graciela,F,3,0,0,0
467,Elvira,F,3,0,3,0
468,Conceição,F,3,0,1,2
469,Lucy,F,3,1,3,7
470,Jacqueline,F,3,0,1,0
471,Evelyn,F,3,4,5,14
472,Latifah,F,3,2,0,1
473,Aicha,F,3,3,3,0
474,Aminata,F,3,0,5,1
475,Alessia,F,3,3,5,2
476,Mariam,F,3,6,4,2
477,Nalini,F,3,1,3,0
478,Noémia,F,3,0,1,4
479,Hadassa,F,3,7,4,6
480,Salma,F,3,0,1,0
481,Jaciara,F,3,1,1,0
482,Perla,F,3,6,2,2
483,Weza,F,3,1,4,1
484,Kendra,F,3,2,2,4
485,Alesia,F,3,1,1,2
486,Laís,F,3,0,7,6
487,Zélia,F,3,0,2,1
488,Sonia,F,3,2,1,0
489,Eleonora,F,3,2,1,0
490,Xin,F,3,2,0,1
491,Indira,F,3,1,3,0
492,Zahra,F,3,6,0,3
493,Daniella,F,3,5,0,1
494,Evellyn,F,3,1,1,0
495,Flora,F,3,12,5,4
496,Gabriella,F,3,12,5,8
497,Joyce,F,3,4,6,3
498,Jandira,F,3,0,3,1
499,Eugénia,F,3,0,1,1
