nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
Esperança,F,11,0,9,10
Alicia,F,11,21,9,15
Jénifer,F,11,0,11,8
Yasmine,F,10,4,4,15
Leila,F,10,8,12,6
Irene,F,10,12,6,6
Morgana,F,10,12,5,8
Lea,F,10,12,15,13
Victoria,F,10,25,16,30
Giovanna,F,10,9,5,13
Amanda,F,10,18,10,11
Concha,F,10,13,9,5
Cloé,F,10,0,8,10
Ashley,F,10,12,9,9
Anastácia,F,10,0,2,5
Magali,F,9,2,1,3
Daria,F,9,4,12,3
Luisa,F,9,4,8,15
Chloé,F,9,0,8,10
Abigail,F,9,17,25,13
Viviana,F,9,10,9,4
Maísa,F,9,0,11,15
Cloe,F,9,14,9,9
Andrea,F,9,6,5,14
Penélope,F,9,0,8,15
Joice,F,9,4,4,10
Noemi,F,9,15,9,4
Karen,F,9,5,2,8
Vânia,F,9,0,7,14
Jessica,F,9,7,5,7
Angela,F,9,6,2,7
Briana,F,9,13,10,16
Katia,F,9,2,2,3
Luzia,F,9,8,9,8
Célia,F,9,0,1,3
Eunice,F,9,13,7,10
Léa,F,9,0,1,3
Nadine,F,9,5,4,6
Samanta,F,8,10,11,11
Martina,F,8,11,11,10
Alyssa,F,8,6,4,4
Lília,F,8,0,8,4
Ayla,F,8,15,5,16
Esmeralda,F,8,9,10,6
Suéli,F,8,0,6,6
Luena,F,8,94,176,139
Viktoria,F,8,4,2,3
Tiara,F,8,5,5,0
Ariele,F,8,6,11,13
Lua,F,8,9,9,5
Fernanda,F,8,8,4,8
Estela,F,8,8,8,5
Chloe,F,8,6,30,47
Aisha,F,8,10,10,14
Heloísa,F,7,0,2,15
Gaia,F,7,6,2,4
Brenda,F,7,14,10,10
Elisabete,F,7,8,5,8
Martinha,F,7,5,7,3
Gisela,F,7,8,2,5
Ísis,F,7,0,9,13
Guadalupe,F,7,4,4,7
Kayla,F,7,12,6,14
Lavínia,F,7,0,6,4
Jacinta,F,7,2,10,19
Esther,F,7,10,10,10
Dara,F,7,8,16,15
Leandra,F,7,9,5,8
Anaís,F,7,0,7,6
Lana,F,7,11,4,4
Nara,F,7,6,5,7
Teodora,F,7,2,1,0
Pérola,F,7,0,6,10
Lyara,F,7,1,2,4
Estrela,F,7,14,15,20
Alexia,F,7,4,6,8
Carmen,F,7,9,10,10
Iasmin,F,7,6,2,8
Nuna,F,7,4,3,4
Natália,F,7,0,4,10
India,F,7,10,13,18
Iana,F,7,2,1,0
Emilly,F,7,8,5,13
Priscila,F,7,9,12,14
Alexa,F,6,5,7,7
Melanie,F,6,10,11,19
Aurea,F,6,4,6,3
Mercedes,F,6,8,7,4
Rayssa,F,6,9,7,9
Taíssa,F,6,0,6,7
Daniana,F,6,0,0,2
Mathilde,F,6,6,3,9
Graça,F,6,0,7,8
Nicoleta,F,6,2,0,1
Elisabeth,F,6,2,3,0
Yasmim,F,6,3,1,7
Amora,F,6,5,4,5
Dulce,F,6,3,6,3
Mirela,F,6,3,3,2
Ciara,F,6,5,10,10
Josiane,F,6,7,7,6
Geovana,F,6,2,3,1
Jasmine,F,6,2,2,13
Ariane,F,6,18,14,13
Giulia,F,6,6,2,7
Anaísa,F,6,0,10,8
Stephanie,F,6,3,6,9
Rosarinho,F,6,13,24,15
Milana,F,6,2,5,11
Ellen,F,6,4,13,11
Amina,F,6,0,2,1
Suri,F,5,13,8,9
Denisa,F,5,2,3,2
Stella,F,5,4,8,6
Marília,F,5,0,3,4
Polina,F,5,6,4,2
Keyla,F,5,7,4,7
Elana,F,5,2,1,0
Isadora,F,5,4,3,10
Zoe,F,5,2,5,5
Josiana,F,5,3,1,2
Isaura,F,5,8,6,8
Antonia,F,5,0,2,3
Roberta,F,5,2,2,2
Ariela,F,5,6,3,8
Melinda,F,5,6,3,7
Lueji,F,5,4,2,3
Lurdes,F,5,6,2,4
Iva,F,5,8,1,1
Iriana,F,5,1,4,3
Alina,F,5,12,4,5
Amy,F,5,5,3,4
Karina,F,5,4,7,6
Oceana,F,5,2,9,9
Julia,F,5,9,2,5
Dora,F,5,6,8,5
Stela,F,5,6,4,5
Maia,F,5,8,10,7
Lígia,F,5,0,7,4
Adelina,F,5,5,6,6
Irís,F,5,0,6,17
Rania,F,5,5,5,3
Mel,F,4,5,2,6
Celeste,F,4,5,2,7
Bibiana,F,4,3,0,1
Beatrice,F,4,2,1,1
Pureza,F,4,3,0,3
Luiza,F,4,4,5,3
Isabelle,F,4,7,1,3
Ada,F,4,2,0,4
Kiesse,F,4,0,0,0
Juliette,F,4,2,0,2
Stefania,F,4,0,2,2
Miranda,F,4,3,7,7
Lais,F,4,9,12,6
Marlene,F,4,4,5,4
Jasmina,F,4,1,4,3
Andreea,F,4,4,3,1
Veronika,F,4,0,4,1
Iolanda,F,4,5,1,2
Laryssa,F,4,0,3,2
Ingrid,F,4,2,1,1
Matilda,F,4,3,5,9
Silvana,F,4,5,4,7
Eveline,F,4,3,2,1
Ava,F,4,4,3,3
Xénia,F,4,0,1,0
Hanna,F,4,3,0,4
Emiliana,F,4,0,1,3
Linda,F,4,6,3,3
Suria,F,4,8,4,1
Guiomar,F,4,8,10,3
Jordana,F,4,4,1,1
Regina,F,4,6,1,6
Ariel,F,4,4,4,6
Jael,F,4,4,2,2
Janaína,F,4,0,4,4
Thaís,F,4,0,10,7
Zara,F,4,6,3,11
Ruth,F,4,5,1,4
Anaïs,F,4,0,1,1
Milene,F,4,4,4,3
Glória,F,4,0,10,12
Katerina,F,4,3,2,0
Yu,F,4,2,0,0
Florbela,F,4,1,4,2
Olivia,F,4,7,9,15
Fatima,F,4,3,3,5
Rebecca,F,4,4,5,3
Arina,F,4,2,3,6
Soraya,F,4,0,2,0
Cássia,F,4,0,3,3
Ionela,F,4,4,0,0
Liz,F,4,4,6,5
Naomi,F,4,2,5,11
Gurleen,F,4,1,1,1
Cassandra,F,4,5,4,3
Celina,F,4,7,4,3
Aysha,F,4,8,7,6
Mercês,F,4,0,5,6
Michelle,F,4,3,4,10
Lya,F,4,7,8,14
Marie,F,4,2,2,2
Aixa,F,4,4,1,0
Hannah,F,4,2,4,6
Aura,F,4,2,7,3
Raíssa,F,4,0,2,6
Ekaterina,F,4,3,1,1
Cinara,F,4,2,4,3
Melany,F,4,6,5,0
Eleonor,F,3,4,7,8
Leah,F,3,4,3,6
Bebiana,F,3,1,2,2
Elina,F,3,1,0,2
Emilia,F,3,1,3,2
Aliya,F,3,0,2,0
Tiffany,F,3,1,5,4
Cindy,F,3,3,1,0
Jessie,F,3,2,2,2
Sol,F,3,2,4,7
Vanda,F,3,2,0,7
Djamila,F,3,1,0,2
Rachel,F,3,1,0,2
Dayanne,F,3,1,1,5
Vitoria,F,3,2,0,4
Zi,F,3,0,1,1
Marisol,F,3,5,4,8
Diva,F,3,5,4,0
Paola,F,3,1,1,0
Margarita,F,3,6,1,3
Lina,F,3,7,6,4
Neide,F,3,3,2,1
Lily,F,3,0,1,2
Cecilia,F,3,0,0,0
Melina,F,3,6,6,3
Daiana,F,3,1,3,0
Iasmina,F,3,2,0,1
Daisi,F,3,4,3,8
Eloá,F,3,0,1,6
Dária,F,3,0,2,3
Stephany,F,3,4,3,2
Natalia,F,3,2,4,1
Eliza,F,3,5,3,4
Lícia,F,3,0,2,1
Ines,F,3,1,0,0
Aleksandra,F,3,1,2,4
Keila,F,3,1,0,5
Lucia,F,3,3,1,1
Rayane,F,3,3,4,5
Alba,F,3,2,4,4
Anabela,F,3,10,6,5
Rosário,F,3,0,2,2
Sienna,F,3,2,4,8
Lis,F,3,2,1,6
Graciela,F,3,0,0,0
Elvira,F,3,0,3,0
Conceição,F,3,0,1,2
Lucy,F,3,1,3,7
Jacqueline,F,3,0,1,0
Evelyn,F,3,4,5,14
Latifah,F,3,2,0,1
Aicha,F,3,3,3,0
Aminata,F,3,0,5,1
Alessia,F,3,3,5,2
Mariam,F,3,6,4,2
Nalini,F,3,1,3,0
Noémia,F,3,0,1,4
Hadassa,F,3,7,4,6
Salma,F,3,0,1,0
Jaciara,F,3,1,1,0
