nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
Maylee Pérolla,F,1,0,0,0
Nair Luana,F,1,0,0,0
Maria Lucília,F,1,0,0,0
Teresa Mafalda,F,1,0,0,0
Cloe Raissa,F,1,0,0,0
Emma Ionara,F,1,0,0,0
Tayra Larissa,F,1,0,0,0
Norah Iahel,F,1,0,0,0
Mayara Raquel,F,1,0,0,0
Laissa Nelsa,F,1,0,0,0
Alexandra Rafaela,F,1,0,0,0
Carolina Soraia,F,1,0,0,0
Kynara Soraia,F,1,0,0,0
Margarida Lucas,F,1,0,0,0
Camila Ayami,F,1,0,0,0
Maria Ariella,F,1,0,0,0
Maiara Luana,F,1,0,0,0
Inês do Carmo,F,1,0,0,0
Inês Luís,F,1,0,0,0
Ana Kelly,F,1,0,0,0
India Margarida,F,1,0,0,0
Isa Mel,F,1,0,0,0
Eliza Maria,F,1,0,0,0
Mariana Marli,F,1,0,0,0
Fabiana Yasmin,F,1,0,0,0
Ella Tahirih,F,1,0,0,0
Melissa Patrícia,F,1,0,0,0
Alesia Ariana,F,1,0,0,0
Joana Matilde,F,1,0,0,0
Jéssica Briana,F,1,0,0,0
Bárbara das Neves,F,1,0,0,0
Aline Sadjo,F,1,0,0,0
Riana Índia,F,1,0,0,0
Bruna Luana,F,1,0,0,0
Nivaldina Maia,F,1,0,0,0
Xin Ru,F,1,0,0,0
Íris Ariana,F,1,0,0,0
Kelly Raissa,F,1,0,0,0
Magda Alexandra,F,1,0,0,0
Aline Rafaela,F,1,0,0,0
Laura Benedita,F,1,0,0,0
Lucy Valentine,F,1,0,0,0
Solange Margarida,F,1,0,0,0
Amélia Benjamim,F,1,0,0,0
Matilde Luísa,F,1,0,0,0
Marta Clara,F,1,0,0,0
Kyara Raquel,F,1,0,0,0
Maria Odete,F,1,0,0,0
Mara Maria,F,1,0,0,0
Nicole Jesus,F,1,0,0,0
Paula Madalina,F,1,0,0,0
Mirella Cristhiane,F,1,0,0,0
Marta Raissa,F,1,0,0,0
Alícia Carla,F,1,0,0,0
Diana Laetitia,F,1,0,0,0
Osíris Virgínia,F,1,0,0,0
Íris Estrela,F,1,0,0,0
Nicole Mariana,F,1,0,0,0
Constança Jorge,F,1,0,0,0
Miriam Lais,F,1,0,0,0
Rebeca Assunção,F,1,0,0,0
Matilde Lorena,F,1,0,0,0
Miriam do Rosário,F,1,0,0,0
Samira Alexandra,F,1,0,0,0
Sophie Alexia,F,1,0,0,0
Emília Sofia,F,1,0,0,0
Hossana Lizy,F,1,0,0,0
Nadine Alexandra,F,1,0,0,0
Rita João,F,1,0,0,0
Sofia Aissatu,F,1,0,0,0
Ana Abigail,F,1,0,0,0
Ana Catalina,F,1,0,0,0
Maria Cloé,F,1,0,0,0
Emília Ester,F,1,0,0,0
Edsani Nayara,F,1,0,0,0
Daniela Kate,F,1,0,0,0
Mirela Alexandra,F,1,0,0,0
Estér Marciano,F,1,0,0,0
Inês Weiyi,F,1,0,0,0
Cristiana Isabel,F,1,0,0,0
Oryana Patrícia,F,1,0,0,0
Amélia Leonor,F,1,0,0,0
Ana Jade,F,1,0,0,0
Constança da Graça,F,1,0,0,0
Sónia Naiara,F,1,0,0,0
Mónica Vanessa,F,1,0,0,0
Sheila Cloe,F,1,0,0,0
Margarida Francisca,F,1,0,0,0
Lua Oriana,F,1,0,0,0
Joana de Sales,F,1,0,0,0
Matilde Iracema,F,1,0,0,0
Leila Filipa,F,1,0,0,0
Madalena Isabela,F,1,0,0,0
Nayara Alexandra,F,1,0,0,0
Mara Eduarda,F,1,0,0,0
Renata Daniela,F,1,0,0,0
Núria Lorena,F,1,0,0,0
Jasmine Kyara,F,1,0,0,0
Ayla Gabriela,F,1,0,0,0
Riyaa Hemal,F,1,0,0,0
Matilde Elawoko,F,1,0,0,0
Michelly Jahel,F,1,0,0,0
Catarina Salomé,F,1,0,0,0
Magda Ester,F,1,0,0,0
Liliana Raissa,F,1,0,0,0
Margarida Nair,F,1,0,0,0
Dahlia Sofia,F,1,0,0,0
Clara Pedro,F,1,0,0,0
Ciara Reiny,F,1,0,0,0
Denise Fátima,F,1,0,0,0
Miriam Gabriela,F,1,0,0,0
Érica dos Anjos,F,1,0,0,0
Kyara Fabiana,F,1,0,0,0
Joyciane Alícia,F,1,0,0,0
Jandira Sofia,F,1,0,0,0
Inês Juliana,F,1,0,0,0
Inês Félix,F,1,0,0,0
Íris Dalene,F,1,0,0,0
Nayara Vitória,F,1,0,0,0
Débora Raísa,F,1,0,0,0
Sofia Aisha,F,1,0,0,0
Nathalia Maria,F,1,0,0,0
Vanessa Isabel,F,1,0,0,0
Isabel Calisto,F,1,0,0,0
Íris Jovana,F,1,0,0,0
Nicole Solange,F,1,0,0,0
Zita Filipe,F,1,0,0,0
Marta Anabela,F,1,0,0,0
Anna do Carmo,F,1,0,0,0
Liana Sariza,F,1,0,0,0
Safiyah Farhan,F,1,0,0,0
Helyara Paixão,F,1,0,0,0
Isis Francisca,F,1,0,0,0
Érica Catarina,F,1,0,0,0
Emily Adele,F,1,0,0,0
Matilde do Rosário,F,1,0,0,0
Lia Clara,F,1,0,0,0
Jaciara Eugénia,F,1,0,0,0
Thyara Francisca,F,1,0,0,0
Inaara Alysha,F,1,0,0,0
Yara Samira,F,1,0,0,0
Pietra Jasmyne,F,1,0,0,0
Rafaela Alice,F,1,0,0,0
Oceana Maria,F,1,0,0,0
Layana Mirela,F,1,0,0,0
Érica Daniela,F,1,0,0,0
Paula Raquel,F,1,0,0,0
Isabel Margarida,F,1,0,0,0
Bárbara Félix,F,1,0,0,0
Ashley Leonor,F,1,0,0,0
Yasmin Filipe,F,1,0,0,0
Vitória Leocádia,F,1,0,0,0
Mia Andreia,F,1,0,0,0
Fabiana Rafaela,F,1,0,0,0
Lara Carollina,F,1,0,0,0
Iara Álison,F,1,0,0,0
Clara Jorge,F,1,0,0,0
Francisca Daniel,F,1,0,0,0
Andreia Patricia,F,1,0,0,0
Íris Filipe,F,1,0,0,0
Lara Emily,F,1,0,0,0
Constança Cristina,F,1,0,0,0
Núria Renata,F,1,0,0,0
Luane Yannis,F,1,0,0,0
Ashley Yasmin,F,1,0,0,0
Alícia Leonor,F,1,0,0,0
Eva Denise,F,1,0,0,0
Selina Gesica,F,1,0,0,0
Elana Victória,F,1,0,0,0
Ângela Ariela,F,1,0,0,0
Ester de Jesus,F,1,0,0,0
Suwela Jareth,F,1,0,0,0
Aryana Melissa,F,1,0,0,0
Maia Sofia,F,1,0,0,0
Milana Eloísa,F,1,0,0,0
Flor Beatriz,F,1,0,0,0
Beatriz Evaristo,F,1,0,0,0
Miriam Kelly,F,1,0,0,0
Diana Ariel,F,1,0,0,0
Eduarda Isabel,F,1,0,0,0
Beatriz Ângela,F,1,0,0,0
Eva Luana,F,1,0,0,0
Lucily Beatriz,F,1,0,0,0
Victória Isabella,F,1,0,0,0
Lisandra Sofia,F,1,0,0,0
Suria Dafne,F,1,0,0,0
Irina Aléxia,F,1,0,0,0
Ana Elisa,F,1,0,0,0
Iolanda Raquel,F,1,0,0,0
Lia Bruna,F,1,0,0,0
Raíssa Maria,F,1,0,0,0
Sarah Rebecca,F,1,0,0,0
Beatriz Pilar,F,1,0,0,0
Laura Valentina,F,1,0,0,0
Beatriz Madalena,F,1,0,0,0
Joaquina Inês,F,1,0,0,0
Michell Priscila,F,1,0,0,0
Benedita Palmira,F,1,0,0,0
Miriam Noemi,F,1,0,0,0
Salin Iamira,F,1,0,0,0
LUÍSA ISABEL,F,1,0,0,0
Ariana Carina,F,1,0,0,0
Simra Noor,F,1,0,0,0
Allegra Salvina,F,1,0,0,0
Constança Beatriz,F,1,0,0,0
Teresa Soraia,F,1,0,0,0
Brooklyn Victória,F,1,0,0,0
Hilda Salima,F,1,0,0,0
Soraia Luciana,F,1,0,0,0
Láriza Vitória,F,1,0,0,0
Mariah Yassine,F,1,0,0,0
Lúcia Matilde,F,1,0,0,0
Inês Lara,F,1,0,0,0
Luisa João,F,1,0,0,0
Inês Dinis,F,1,0,0,0
Ayla Dandara,F,1,0,0,0
Luwejíyane Filomena,F,1,0,0,0
Soraia Luana,F,1,0,0,0
Maria Leandra,F,1,0,0,0
Isabelle Anne,F,1,0,0,0
Maria Stefani,F,1,0,0,0
Marta Luís,F,1,0,0,0
Leticia Victória,F,1,0,0,0
Luana Palmira,F,1,0,0,0
Núria Marina,F,1,0,0,0
Yara Tatiana,F,1,0,0,0
Joseanne de Fátima,F,1,0,0,0
Yara Lea,F,1,0,0,0
Luna Martiniano,F,1,0,0,0
Ariana Salomé,F,1,0,0,0
Mia Luana,F,1,0,0,0
Luisa Angela,F,1,0,0,0
Raquel Eloá,F,1,0,0,0
Tamára Raquel,F,1,0,0,0
Jéssica Leonor,F,1,0,0,0
Diana Amélia,F,1,0,0,0
Dulcineia Umuaua,F,1,0,0,0
Fátima Soares,F,1,0,0,0
Esther Filippa,F,1,0,0,0
Loredana Beatriz,F,1,0,0,0
Jannatul Sufia,F,1,0,0,0
Giovana Caroline,F,1,0,0,0
Aurea Vitória,F,1,0,0,0
Rosa Sofia,F,1,0,0,0
Kyara Yasmin,F,1,0,0,0
Susana Bobó,F,1,0,0,0
Valentina Roma,F,1,0,0,0
Carolina Anaís,F,1,0,0,0
Leonor Alexandre,F,1,0,0,0
Geovana Larissa,F,1,0,0,0
Matilde Mel,F,1,0,0,0
Brigitte Agar,F,1,0,0,0
Lucy Rosa,F,1,0,0,0
Mara Luz,F,1,0,0,0
Beatriz Isabela,F,1,0,0,0
Zahara Marin,F,1,0,0,0
Cármen Telmo,F,1,0,0,0
Eduarda Francisca,F,1,0,0,0
Júlia Inês,F,1,0,0,0
Esther Emanuelle,F,1,0,0,0
Jordana Micaela,F,1,0,0,0
Maria Joana Margarida,F,1,0,0,0
Nara Beatriz,F,1,0,0,0
Ema Luísa,F,1,0,0,0
Ariana Delfina,F,1,0,0,0
Mara Joana,F,1,0,0,0
Kelly Cristina,F,1,0,0,0
Elisa Rosa,F,1,0,0,0
Carminho Gabriela,F,1,0,0,0
Marisa Adelina,F,1,0,0,0
Keliany Patrícia,F,1,0,0,0
Guadalupe Sofia,F,1,0,0,0
Iara Luana,F,1,0,0,0
Diana Cármen,F,1,0,0,0
Lila Sarah,F,1,0,0,0
Zandra Sofia,F,1,0,0,0
Mélanie Daniela,F,1,0,0,0
Kaily Safira,F,1,0,0,0
Maria Adília,F,1,0,0,0
Saffira Jasmine,F,1,0,0,0
Susana Djenabu,F,1,0,0,0
Bruna Raquel,F,1,0,0,0
Herlica Elvira,F,1,0,0,0
Bruna Tatiana,F,1,0,0,0
kelly Leonor,F,1,0,0,0
Anouk Malu,F,1,0,0,0
Isabel Sofia,F,1,0,0,0
Samara Lídia,F,1,0,0,0
Alice Dione,F,1,0,0,0
Yasmin Mariama,F,1,0,0,0
Juliana Cristina,F,1,0,0,0
Nicole Alícia,F,1,0,0,0
Iris Vitória,F,1,0,0,0
Mariana Catarina,F,1,0,0,0
Joana Felicity-Grace,F,1,0,0,0
Alyssa Bianca,F,1,0,0,0
Laryssa Sofia,F,1,0,0,0
Lara Thaís,F,1,0,0,0
Aléxia Rafaela,F,1,0,0,0
Vanda Sofia,F,1,0,0,0
Elsa Patricia,F,1,0,0,0
Heloísa Katarina,F,1,0,0,0
Diana Mar,F,1,0,0,0
Daiany Catarina,F,1,0,0,0
Zi Fei,F,1,0,0,0
Magali Sofia,F,1,0,0,0
Bruna Jeovana,F,1,0,0,0
Elena Natália,F,1,0,0,0
Ariana Elisabete,F,1,0,0,0
Naiara Daniela,F,1,0,0,0
Ana Soraia,F,1,0,0,0
Zi Ying,F,1,0,0,0
Leila Beatriz,F,1,0,0,0
Leonor Duarte,F,1,0,0,0
Catarina de Cássia,F,1,0,0,0
Daniela Grace,F,1,0,0,0
Maiara Safira,F,1,0,0,0
Maria Salete,F,1,0,0,0
Neusa Alexandra,F,1,0,0,0
Beatriz Ioana,F,1,0,0,0
Matilde Marília,F,1,0,0,0
Lúcia Miguela,F,1,0,0,0
Margarida Gil,F,1,0,0,0
rancisca Delia Salomei,F,1,0,0,0
Célia Janaína,F,1,0,0,0
Edeleny Ronisy,F,1,0,0,0
Irina Ioana,F,1,0,0,0
Djara Sofia,F,1,0,0,0
Caetana Leonor,F,1,0,0,0
Diana Dawn,F,1,0,0,0
Ivânia Djamila,F,1,0,0,0
Candice Clotilde Clasin,F,1,0,0,0
Ariana Alice,F,1,0,0,0
Lyandra Alexandra,F,1,0,0,0
Yasmin Patrícia,F,1,0,0,0
Carolina Filomena,F,1,0,0,0
Angelina Naiara,F,1,0,0,0
Clara Gil,F,1,0,0,0
Carolina Fabiana,F,1,0,0,0
Luana Inês,F,1,0,0,0
Maya Anabell,F,1,0,0,0
Margarida Inês,F,1,0,0,0
Alehandra Giovanna,F,1,0,0,0
Gabriela de Jesus,F,1,0,0,0
Bruna Cristina,F,1,0,0,0
Luzia Sofia,F,1,0,0,0
Aina Makiesse,F,1,0,0,0
Elsa Angelina,F,1,0,0,0
Bruna Matilde,F,1,0,0,0
Ariele Filipa,F,1,0,0,0
Miriam de Fátima,F,1,0,0,0
Elena Youcheng,F,1,0,0,0
Victória Mariana,F,1,0,0,0
Liara Maria,F,1,0,0,0
Kiara Raquel,F,1,0,0,0
Susana Lando,F,1,0,0,0
Luísa Afonso,F,1,0,0,0
Clara Augusta,F,1,0,0,0
Maiara Isabela,F,1,0,0,0
Liyana Alice Helena,F,1,0,0,0
Orquídea Rosa,F,1,0,0,0
Amanda Sencial,F,1,0,0,0
Esperança Tamara,F,1,0,0,0
Flávia Nicoleta,F,1,0,0,0
Elcana Josemara,F,1,0,0,0
Joadmila Maria,F,1,0,0,0
Lavínia Maria,F,1,0,0,0
Briana Alexandra,F,1,0,0,0
Brenda Alyssa,F,1,0,0,0
Rosa Branca,F,1,0,0,0
Fénix Kidoroks,F,1,0,0,0
Angelika Aurora,F,1,0,0,0
Luamy Nsuni,F,1,0,0,0
Carla Beatriz,F,1,0,0,0
Clara Manuela,F,1,0,0,0
Alice Clara,F,1,0,0,0
Aurora Isabel,F,1,0,0,0
Rayssa Sofia,F,1,0,0,0
Antónia Maria,F,1,0,0,0
Mayra Juliana,F,1,0,0,0
Victória João,F,1,0,0,0
Aline Welwitschia,F,1,0,0,0
Eva Mar,F,1,0,0,0
Esperança Safira,F,1,0,0,0
Myrella Valentina,F,1,0,0,0
Inês Duarte,F,1,0,0,0
Daria Gabriela,F,1,0,0,0
Andreia Manuel,F,1,0,0,0
Bianca do Rosário,F,1,0,0,0
Lara Carina,F,1,0,0,0
Margarida Luís,F,1,0,0,0
Sara Fielpina Élise,F,1,0,0,0
Lyaren Maria,F,1,0,0,0
Noa Luz,F,1,0,0,0
Keila Filipa,F,1,0,0,0
Camila Marina,F,1,0,0,0
Maria Clarisse,F,1,0,0,0
Ester Andrea,F,1,0,0,0
Alana Yasmine,F,1,0,0,0
India Larissa,F,1,0,0,0
Mónica António,F,1,0,0,0
Noa Aniana,F,1,0,0,0
Alice Serena,F,1,0,0,0
Melyssa Vitória,F,1,0,0,0
Halyane Sabel,F,1,0,0,0
Carolina Eduarda,F,1,0,0,0
Kelly Aicha,F,1,0,0,0
Jacinta Gabrielenia,F,1,0,0,0
Fabiana Leonor,F,1,0,0,0
Beatriz Mina,F,1,0,0,0
Erika Shelsy,F,1,0,0,0
Lariane Larissa,F,1,0,0,0
Mia Flor,F,1,0,0,0
Aixa Micaela,F,1,0,0,0
Aurora Celeste,F,1,0,0,0
Alana Miguel,F,1,0,0,0
Larissa Alexandra,F,1,0,0,0
Bárbara Elisa,F,1,0,0,0
Maria Chantal,F,1,0,0,0
Camila Elwenn,F,1,0,0,0
Lívia Letícia,F,1,0,0,0
Iana Gabriela,F,1,0,0,0
Victória Alba,F,1,0,0,0
Anisa Amin,F,1,0,0,0
Matilde Yasmin,F,1,0,0,0
Benedita Dinis,F,1,0,0,0
Laura Ângela,F,1,0,0,0
Leonor Levi,F,1,0,0,0
Marta Francisca,F,1,0,0,0
Talita Hilda,F,1,0,0,0
Luísa Liz,F,1,0,0,0
Telma Rafaela,F,1,0,0,0
Liana Elisabete,F,1,0,0,0
Ângela Cristina,F,1,0,0,0
Constança Pia,F,1,0,0,0
Lisandra Vitória,F,1,0,0,0
Emily Paola,F,1,0,0,0
Melinda Abigail,F,1,0,0,0
Lira Sofia,F,1,0,0,0
Jade Carolina,F,1,0,0,0
Dricla Maria,F,1,0,0,0
Elisabete Abigail,F,1,0,0,0
Valentina Filipa,F,1,0,0,0
Mary Aissa,F,1,0,0,0
Leandra Filipa,F,1,0,0,0
Akeelah Iami,F,1,0,0,0
Inês Mar,F,1,0,0,0
Daisy Osaivbie,F,1,0,0,0
Yasmin Nídia,F,1,0,0,0
Neena Katherine,F,1,0,0,0
Mafalda Carolina,F,1,0,0,0
Eva Ana,F,1,0,0,0
Luana Liz,F,1,0,0,0
Leonor Chan,F,1,0,0,0
Kelly António,F,1,0,0,0
Maria Clementina,F,1,0,0,0
Liliana Soraia,F,1,0,0,0
Weza Tchissola,F,1,0,0,0
Eveline Isabel,F,1,0,0,0
Chen Xian,F,1,0,0,0
Íris de Deus,F,1,0,0,0
Bárbara Vitória,F,1,0,0,0
Ananya Sashikant,F,1,0,0,0
Diana Marisa,F,1,0,0,0
Ariana Pedro,F,1,0,0,0
Alícia Daniela,F,1,0,0,0
Inaia Celeste,F,1,0,0,0
Emilly Sofia,F,1,0,0,0
Huncelma Denize,F,1,0,0,0
Diana Benedita,F,1,0,0,0
Naraiana Daniela,F,1,0,0,0
Taís Sofia,F,1,0,0,0
Naomi Rut,F,1,0,0,0
Nicole Natércia,F,1,0,0,0
Íris Alícia,F,1,0,0,0
Núbia Iasmin,F,1,0,0,0
Victoria Luana,F,1,0,0,0
Kelly Isabel,F,1,0,0,0
Silvia Clara,F,1,0,0,0
Violeta Alexandra,F,1,0,0,0
Lília Sofia,F,1,0,0,0
Djamila Cadija,F,1,0,0,0
Neusa Matilde,F,1,0,0,0
Carlota Zita,F,1,0,0,0
Matilde Flôr,F,1,0,0,0
Soainy Sori,F,1,0,0,0
Mah Noor,F,1,0,0,0
Violeta Filipe,F,1,0,0,0
Joana Odete,F,1,0,0,0
Siena Patricia,F,1,0,0,0
Laura Victoria,F,1,0,0,0
Íris Cristina,F,1,0,0,0
Flávia Daniela,F,1,0,0,0
Madalena do Carmo,F,1,0,0,0
Nalini Filipa,F,1,0,0,0
Rafaela Isabel,F,1,0,0,0
Ana Ester,F,1,0,0,0
Beatriz Conceição,F,1,0,0,0
Isa Miguel,F,1,0,0,0
Allia Maria,F,1,0,0,0
Suéli Rosana,F,1,0,0,0
Viviane Maria,F,1,0,0,0
Noemi Isabel,F,1,0,0,0
Daniela Cristóvão,F,1,0,0,0
Yara Luana,F,1,0,0,0
Letícia de Jesus,F,1,0,0,0
Yasmin Alissa,F,1,0,0,0
Sarah Michelle,F,1,0,0,0
Alyssa Jade,F,1,0,0,0
Bárbara Inês,F,1,0,0,0
Yasmin Ágata,F,1,0,0,0
Éllene Yohanni,F,1,0,0,0
Elizabeth Victória,F,1,0,0,0
Andresa Filipa,F,1,0,0,0
Diana Regina,F,1,0,0,0
Jennifer Larissa,F,1,0,0,0
Dora Luís,F,1,0,0,0
Fatima Ulai,F,1,0,0,0
Swazilene Jacilene,F,1,0,0,0
Carla Lorena,F,1,0,0,0
Aixa Maria,F,1,0,0,0
Isabelle Nayane,F,1,0,0,0
Carla Micaela,F,1,0,0,0
Stephanie Caroline,F,1,0,0,0
Yasmin Liana,F,1,0,0,0
Bia Sofia,F,1,0,0,0
Viviane Rafaela,F,1,0,0,0
Keila Giselle,F,1,0,0,0
Mieji Uhenha,F,1,0,0,0
Alice Kelly,F,1,0,0,0
Kayla Beatriz,F,1,0,0,0
Luzy Moana Olhinha,F,1,0,0,0
Maria Julieta,F,1,0,0,0
Nicole Maia,F,1,0,0,0
Chloé Nair,F,1,0,0,0
Luísa Nano,F,1,0,0,0
Joraide Lullo Nhima,F,1,0,0,0
Lana Gabriela,F,1,0,0,0
Amanda Isis,F,1,0,0,0
Diana Larissa,F,1,0,0,0
Argentina Aissatu,F,1,0,0,0
Clara do Carmo,F,1,0,0,0
Sara Miriam,F,1,0,0,0
Neerzara Krishma,F,1,0,0,0
Keyliane Melissa,F,1,0,0,0
Maísa Kyara,F,1,0,0,0
Rahel Sofia,F,1,0,0,0
Luana Taís,F,1,0,0,0
Sofia Patrícia,F,1,0,0,0
Alisha Ciara,F,1,0,0,0
Eduarda João,F,1,0,0,0
Constança Duarte,F,1,0,0,0
Joana Nicol,F,1,0,0,0
Aline Melissa,F,1,0,0,0
Alícia Teresa,F,1,0,0,0
Carolina Iosefina,F,1,0,0,0
Rita Catarina,F,1,0,0,0
Angelic Kiara,F,1,0,0,0
Dalila Raquel,F,1,0,0,0
Bárbara João,F,1,0,0,0
Laura Afonso,F,1,0,0,0
Sofia António,F,1,0,0,0
Gemma Merícia,F,1,0,0,0
Cloe Sofia,F,1,0,0,0
Mafalda Raquel,F,1,0,0,0
Rayane Jacques,F,1,0,0,0
Carina Alexandra,F,1,0,0,0
Jemima Agostinho,F,1,0,0,0
Lia Cloe,F,1,0,0,0
Érica Gabriela,F,1,0,0,0
Beatriz de Lurdes,F,1,0,0,0
Lunna Maria,F,1,0,0,0
Hadassah Napoleão,F,1,0,0,0
Júlia Clara,F,1,0,0,0
Clara Johanna,F,1,0,0,0
Inês Jorge,F,1,0,0,0
Érica Luísa,F,1,0,0,0
Catarina Vitória,F,1,0,0,0
Isabela Liz,F,1,0,0,0
Leanje Mylara,F,1,0,0,0
Ellaine Vitória,F,1,0,0,0
Erin Nayara,F,1,0,0,0
Milene Isabel,F,1,0,0,0
Natália Alexandra,F,1,0,0,0
Claúdia Marina,F,1,0,0,0
Ana Angélica,F,1,0,0,0
Lisandra Cristina,F,1,0,0,0
Victória Camila,F,1,0,0,0
Cléo Alejandra,F,1,0,0,0
Antonia Lorena,F,1,0,0,0
Isabel Constança,F,1,0,0,0
Gabriela Melissa,F,1,0,0,0
Diócadun Elia,F,1,0,0,0
Trisha Alpeshkumar,F,1,0,0,0
Marisol Isabella,F,1,0,0,0
Yasmin Rebeca,F,1,0,0,0
Ester Marilan,F,1,0,0,0
Paloma Naiara,F,1,0,0,0
Nayara Luana,F,1,0,0,0
Yolene Shantell,F,1,0,0,0
Açucena Raquel,F,1,0,0,0
Cheila Cristina,F,1,0,0,0
Bruna Mariana,F,1,0,0,0
Nicole Fabiana,F,1,0,0,0
Lea de Jesus,F,1,0,0,0
Nayara Victória,F,1,0,0,0
Eloise Rose,F,1,0,0,0
Alexia Mariana,F,1,0,0,0
Isis Fernanda,F,1,0,0,0
Edmaya Luísa,F,1,0,0,0
Débora Nicole,F,1,0,0,0
Liliana Matilde,F,1,0,0,0
Susana Abigail,F,1,0,0,0
argarida de Santa Mar,F,1,0,0,0
Ivete João,F,1,0,0,0
Bianca Margarida,F,1,0,0,0
Paulina Lwege,F,1,0,0,0
Kelly Sarahí,F,1,0,0,0
Morgana Patrícia,F,1,0,0,0
Dalila Yasmin,F,1,0,0,0
Bianca Natália,F,1,0,0,0
Wiliannie Stephany,F,1,0,0,0
Chloé Sophia,F,1,0,0,0
Ana Vicente,F,1,0,0,0
Mariana Lurdes,F,1,0,0,0
Madalena Raquel,F,1,0,0,0
Dora Sofia,F,1,0,0,0
Sofia Martinho,F,1,0,0,0
Jael Zendaya,F,1,0,0,0
Jessica Mirene,F,1,0,0,0
Benedita Marisa,F,1,0,0,0
Leonor Inês,F,1,0,0,0
Bruna Linésia,F,1,0,0,0
Sara Lourenço,F,1,0,0,0
Leonor Anaís,F,1,0,0,0
Maria Antônia,F,1,0,0,0
Mara Inês,F,1,0,0,0
Joana Amélia,F,1,0,0,0
Melanie Emily,F,1,0,0,0
Naísa Ariane,F,1,0,0,0
Marisa Agostinho,F,1,0,0,0
Natacha Sofia,F,1,0,0,0
Leonor Cloé,F,1,0,0,0
Maia Filipa,F,1,0,0,0
Wareesha Hassan,F,1,0,0,0
Carolina Marisa,F,1,0,0,0
Tânia Cadijatu,F,1,0,0,0
Isabella Rose,F,1,0,0,0
Melissa Daniela,F,1,0,0,0
Carmo Isabel,F,1,0,0,0
Cristiana Rosa,F,1,0,0,0
Beatriz Antonia,F,1,0,0,0
Elisabete Maria,F,1,0,0,0
Eva Kioja,F,1,0,0,0
Catarina Weza,F,1,0,0,0
Liara Beatriz,F,1,0,0,0
Lorena Beatriz,F,1,0,0,0
Bárbara Gabriel,F,1,0,0,0
Débora Regina,F,1,0,0,0
Kyara Luciana,F,1,0,0,0
Concha Maria,F,1,0,0,0
Érica Jociany,F,1,0,0,0
Estela Carolina,F,1,0,0,0
Soraia Beatriz,F,1,0,0,0
Emma Mengqi,F,1,0,0,0
Victória Lorena,F,1,0,0,0
Anusca Joana,F,1,0,0,0
Eva Violeta,F,1,0,0,0
Márcia Nayara,F,1,0,0,0
Uma Maya,F,1,0,0,0
Sara Emanuela,F,1,0,0,0
Madalena de Jesus,F,1,0,0,0
Liana Cristiane,F,1,0,0,0
Elisa Alexandra,F,1,0,0,0
Flor Isabel,F,1,0,0,0
Benigna Margarida,F,1,0,0,0
Carlota Noor,F,1,0,0,0
Sara Sabrina,F,1,0,0,0
Zapryanka Donkova,F,1,0,0,0
Sofia Lua,F,1,0,0,0
Micaela Olufemi,F,1,0,0,0
Valentina Nicole,F,1,0,0,0
Áurea Catarina,F,1,0,0,0
Anastasia Aleksandra,F,1,0,0,0
Sandy Dinora,F,1,0,0,0
Cinara Alexandra,F,1,0,0,0
Lénia Maria,F,1,0,0,0
Layla Marie,F,1,0,0,0
Lia Catarina,F,1,0,0,0
Samantha José,F,1,0,0,0
Anna Petra,F,1,0,0,0
Rita de Santa Maria,F,1,0,0,0
Janice Cristina,F,1,0,0,0
Nellyane Olimpia,F,1,0,0,0
Valeriya Yurivna,F,1,0,0,0
Tatiana Andreia,F,1,0,0,0
Cecília Fátima,F,1,0,0,0
Soyane Alexandra,F,1,0,0,0
Emma Lou,F,1,0,0,0
Talia Ehab,F,1,0,0,0
Maria Ermelinda,F,1,0,0,0
Márcia Royan,F,1,0,0,0
Nicoleta Alexandra,F,1,0,0,0
Ariana Sabrina,F,1,0,0,0
Cármen Lúcia,F,1,0,0,0
Raquel Mavilde,F,1,0,0,0
Letícia Elisa,F,1,0,0,0
Clarisse Cristina,F,1,0,0,0
Luany Beatriz,F,1,0,0,0
Morgana Daniel,F,1,0,0,0
Linda Santiago,F,1,0,0,0
Lea Lovis,F,1,0,0,0
Petra Letícia,F,1,0,0,0
Sarah Winnie,F,1,0,0,0
Brigite Vitória,F,1,0,0,0
Vera Isabel,F,1,0,0,0
Diana Kaiyan,F,1,0,0,0
Victória Michele,F,1,0,0,0
Ana Aurora,F,1,0,0,0
Violeta Filipa,F,1,0,0,0
Pilar Maia,F,1,0,0,0
Maurícia Cibele,F,1,0,0,0
Victória Vanessa,F,1,0,0,0
Cristina Patrícia,F,1,0,0,0
Letícia Mel,F,1,0,0,0
Franciely Ilda,F,1,0,0,0
Zhi Xuan,F,1,0,0,0
Ana Carminho,F,1,0,0,0
Asheley Filomena,F,1,0,0,0
Letícia Dinis,F,1,0,0,0
Anita Raquel,F,1,0,0,0
Isabela Luana,F,1,0,0,0
Angeline Mhyla,F,1,0,0,0
Mafalda Luís,F,1,0,0,0
Bianca Laurentina,F,1,0,0,0
Kayla Onima,F,1,0,0,0
Valéria Beatriz,F,1,0,0,0
Luísa Duarte,F,1,0,0,0
Celine Vitória,F,1,0,0,0
Leslie Ariel,F,1,0,0,0
Carla Sophia,F,1,0,0,0
Matilde Iasmin,F,1,0,0,0
